City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
182,Porto Velho,-8.7619,-63.9039,78.85,89,20,1.14,BR,1681425094
183,San Buenaventura,27.0833,-101.5333,87.48,32,75,9.22,MX,1681425390
184,Morón,-34.6534,-58.6198,62.35,46,1,5.79,AR,1681425390
185,Aleksandrov Gay,50.147,48.5704,54.86,78,100,23.09,RU,1681425390
186,Mattru,7.6244,-11.8332,80.17,81,50,3.65,SL,1681425391
187,Brixen,46.715,11.656,41.14,95,100,4.43,IT,1681425391
188,Airai,-8.9266,125.4092,64.9,87,21,1.52,TL,1681425391
189,Kruisfontein,-34.0033,24.7314,57.88,67,0,15.97,ZA,1681425392
190,Bambous Virieux,-20.3428,57.7575,76.21,94,20,3.44,MU,1681425392
191,Zolotukhino,52.0842,36.3772,50.07,85,100,8.55,RU,1681425392
192,Bethel,41.3712,-73.414,89.69,18,0,8.05,US,1681425393
193,Lázaro Cárdenas,17.9583,-102.2,83.3,51,3,11.9,MX,1681425393
194,Tommot,58.9564,126.2925,21.0,97,100,1.88,RU,1681425393
195,Masindi,1.6744,31.715,66.85,88,100,2.15,UG,1681425393
196,Dudinka,69.4058,86.1778,-16.38,99,100,8.46,RU,1681425393
197,San Andrés,12.5847,-81.7006,84.22,65,40,14.97,CO,1681425393
198,Pevek,69.7008,170.3133,2.41,91,95,3.18,RU,1681425393
199,Lubango,-14.9172,13.4925,61.32,80,75,3.78,AO,1681425393
200,Talon,11.56,122.6811,74.21,84,91,3.42,PH,1681425393
201,Guanare,9.0418,-69.7421,104.02,21,43,3.44,VE,1681425393
202,Esperance,-33.8667,121.9,56.07,73,76,26.04,AU,1681425393
203,Oyón,-10.6681,-76.7731,48.06,91,99,3.74,PE,1681425393
204,Okha,53.5739,142.9478,30.99,98,100,13.29,RU,1681425131
205,Muros,42.7762,-9.0603,56.08,85,100,16.51,ES,1681425394
206,Novoagansk,61.9449,76.6625,-5.17,95,74,9.71,RU,1681425394
207,Næstved,55.2299,11.7609,41.25,87,80,1.95,DK,1681425394
208,Manzanillo,20.3433,-77.1167,80.92,69,84,4.85,CU,1681425394
209,Katobu,-4.9408,122.5276,76.84,92,91,1.63,ID,1681425394
210,Portland,45.5234,-122.6762,56.8,51,75,4.61,US,1681425293
211,Camacha,33.0833,-16.3333,60.22,72,75,14.97,PT,1681425395
212,Thompson,55.7435,-97.8558,44.76,45,75,5.75,CA,1681425395
213,Ginda,30.6945,78.4932,55.92,35,0,8.25,IN,1681425395
214,Gorgan,36.8387,54.4348,53.56,88,0,11.5,IR,1681425395
215,Balkanabat,39.5108,54.3671,64.92,65,83,9.1,TM,1681425395
216,Brufut,13.3814,-16.7518,80.69,61,0,8.05,GM,1681425396
217,Vila Franca do Campo,37.7167,-25.4333,61.21,90,58,5.66,PT,1681425396
218,Lima,-12.0432,-77.0282,79.05,65,75,11.5,PE,1681425331
219,Bāgeshwar,29.85,79.7667,61.65,35,16,4.03,IN,1681425396
220,Båtsfjord,70.6345,29.7185,30.13,68,14,26.46,NO,1681425396
221,Asău,46.4333,26.4,41.92,82,12,3.18,RO,1681425396
222,Vao,-22.6667,167.4833,73.85,93,100,12.1,NC,1681425396
223,Puerto Colombia,10.9878,-74.9547,82.49,82,9,26.42,CO,1681425396
224,Codrington,-38.2667,141.9667,59.56,78,4,8.55,AU,1681425396
225,Klaksvík,62.2266,-6.589,45.52,80,100,15.21,FO,1681425396
226,San Jerónimo,-11.9472,-75.2829,54.05,73,55,5.44,PE,1681425397
227,Bonavista,48.6499,-53.1147,31.15,90,100,16.89,CA,1681425397
228,Biloela,-24.4167,150.5,71.8,39,0,5.06,AU,1681425397
229,Meulaboh,4.1363,96.1285,76.35,91,95,3.51,ID,1681425397
230,Broken Hill,-31.95,141.4333,61.09,63,10,8.14,AU,1681425397
231,Pisco,-13.7,-76.2167,80.65,61,13,20.71,PE,1681425397
232,Butaritari,3.0707,172.7902,81.41,79,42,11.7,KI,1681425397
233,Narsaq,60.9167,-46.05,46.62,80,99,7.02,GL,1681425397
234,Philadelphia,39.9523,-75.1638,86.25,29,0,13.8,US,1681425192
235,Alberton,46.8168,-64.0654,51.93,83,63,10.02,CA,1681425397
236,Cayenne,4.9333,-52.3333,77.04,94,75,5.75,GF,1681425398
237,Yar-Sale,66.8333,70.8333,-4.7,92,37,12.3,RU,1681425398
238,Manaus,-3.1019,-60.025,86.49,66,20,5.75,BR,1681425398
239,Aginskoye,51.1,114.53,29.07,75,100,13.65,RU,1681425398
240,Hervey Bay,-25.2986,152.8535,70.92,47,0,6.15,AU,1681425394
241,Batagay-Alyta,67.8006,130.4114,10.4,80,98,2.98,RU,1681425398
242,Saint-Philippe,-21.3585,55.7679,74.79,84,79,1.05,RE,1681425399
243,Radviliškis,55.8167,23.5333,46.45,87,100,8.05,LT,1681425399
244,San Patricio,28.017,-97.5169,80.19,49,42,13.51,US,1681425399
245,Mount Gambier,-37.8333,140.7667,59.38,76,1,7.25,AU,1681425399
246,Jaru,-10.4389,-62.4664,76.15,92,99,2.04,BR,1681425399
247,Soyo,-6.1349,12.3689,79.74,77,48,3.62,AO,1681425399
248,Saldanha,-33.0117,17.9442,59.05,87,12,11.01,ZA,1681425399
249,Coquimbo,-29.9533,-71.3436,64.13,77,0,11.5,CL,1681425399
250,Ancud,-41.8697,-73.8203,52.81,79,39,3.58,CL,1681425399
251,Mahibadhoo,3.7833,72.9667,82.44,74,11,4.54,MV,1681425399
252,Ketchikan,55.3422,-131.6461,45.07,70,100,10.36,US,1681425330
253,Lujiang,31.2581,117.2817,67.17,90,95,3.78,CN,1681425399
254,Kushmurun,52.4503,64.6311,50.76,62,100,2.82,KZ,1681425399
255,Sinjār,36.3209,41.8754,50.2,71,27,4.03,IQ,1681425399
256,Richards Bay,-28.783,32.0377,69.78,91,67,6.46,ZA,1681425399
257,Saint-Pierre,-21.3393,55.4781,75.56,78,0,5.75,RE,1681425400
258,Tiksi,71.6872,128.8694,13.75,77,100,3.0,RU,1681425400
259,Port Hardy,50.6996,-127.4199,44.78,70,75,8.05,CA,1681425400
260,Manicoré,-5.8092,-61.3003,77.32,90,100,0.98,BR,1681425401
261,Lebu,-37.6167,-73.65,56.32,94,50,3.53,CL,1681425223
